counter	temp	goal	relay	energy
1	0	0	0	0
2	0	0	0	0
4	0	223	0	0
5	0	223	1	20
6	0	223	1	20
8	0	223	1	20
9	0	223	1	40
10	0	223	1	40
12	0	223	1	40
13	0	223	1	60
14	0	223	1	60
16	0	223	1	60
17	0	223	1	80
18	0	223	1	80
20	0	223	1	80
21	0	223	1	100
22	0	223	1	100
24	0	223	1	100
25	0	223	1	120
26	0	223	1	120
28	0	223	1	120
29	0	223	1	140
30	0	223	1	140
32	0	223	1	140
33	0	223	1	160
34	0	223	1	160
36	0	223	1	160
37	0	223	1	180
38	0	223	1	180
40	0	223	1	180
41	0	223	1	200
42	0	223	1	200
44	0	223	1	200
45	0	223	1	220
46	0	223	1	220
48	0	223	1	220
49	0	223	1	240
50	0	223	1	240
52	0	223	1	240
53	0	223	1	260
54	0	223	1	260
56	0	223	1	260
57	0	223	1	280
58	0	223	1	280
60	0	223	1	280
61	0	223	1	300
62	0	223	1	300
64	0	223	1	300
65	0	223	1	320
66	0	223	1	320
68	0	223	1	320
69	0	223	1	340
70	0	223	1	340
72	0	223	1	340
73	0	223	1	360
74	0	223	1	360
76	0	223	1	360
77	0	223	1	380
78	0	223	1	380
80	0	223	1	380
81	0	223	1	400
82	0	223	1	400
84	0	223	1	400
85	0	223	1	420
86	0	223	1	420
88	0	223	1	420
89	0	223	1	440
90	0	223	1	440
92	0	223	1	440
93	0	223	1	460
94	0	223	1	460
96	0	223	1	460
97	0	223	1	480
98	0	223	1	480
100	0	223	1	480
101	0	223	1	500
102	0	223	1	500
104	0	223	1	500
105	0	223	1	520
106	0	223	1	520
108	0	223	1	520
109	0	223	1	540
110	0	223	1	540
112	0	223	1	540
113	0	223	1	560
114	0	223	1	560
116	0	223	1	560
117	0	223	1	580
118	0	223	1	580
120	0	223	1	580
121	0	223	1	600
122	0	223	1	600
124	0	223	1	600
125	0	223	1	620
126	0	223	1	620
128	0	223	1	620
129	0	223	1	640
130	0	223	1	640
132	0	223	1	640
133	0	223	1	660
134	0	223	1	660
136	0	223	1	660
137	0	223	1	680
138	0	223	1	680
140	0	223	1	680
141	0	223	1	700
142	0	223	1	700
144	0	223	1	700
145	0	223	1	720
146	0	223	1	720
148	0	223	1	720
149	0	223	1	740
150	0	223	1	740
152	0	223	1	740
153	0	223	1	760
154	0	223	1	760
156	0	223	1	760
157	0	223	1	780
158	0	223	1	780
160	0	223	1	780
161	0	223	1	800
162	0	223	1	800
164	0	223	1	800
165	0	223	1	820
166	0	223	1	820
168	0	223	1	820
169	0	223	1	840
170	0	223	1	840
172	0	223	1	840
173	0	223	1	860
174	0	223	1	860
176	0	223	1	860
177	0	223	1	880
178	0	223	1	880
180	0	223	1	880
181	0	223	1	900
182	0	223	1	900
184	0	223	1	900
185	0	223	1	920
186	0	223	1	920
188	0	223	1	920

(Properly stopped)
