counter	temp	goal	relay	energy
0	0	0	0	0
0	784	0	0	0
1	784	298	0	0
1	784	298	0	0
1	784	298	0	0
2	784	298	0	0
2	784	298	0	0
2	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
3	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
4	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
5	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
6	784	298	0	0
