counter	temp	goal	relay	energy
0	0	0	0	0
0	0	0	0	0
1	0	223	0	0
1	0	223	1	20
1	0	223	1	20
2	0	219	1	20
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
2	0	219	1	40
3	0	223	1	40
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
3	0	223	1	60
4	0	223	1	60
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
4	0	223	1	80
5	0	219	1	80
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
5	0	219	1	100
6	0	219	1	100
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
6	0	219	1	120
7	0	219	1	120
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
7	0	219	1	140
8	0	223	1	140
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
8	0	223	1	160
9	0	223	1	160
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
9	0	223	1	180
